Account Number,Organization,City,Country,CDP Region,0
70261,Alcaldia de Floridablanca,Floridablanca,Colombia,Latin America,5
71557,Quelimane Municipal Council,Quelimane,Mozambique,Africa,3
72887,State of Connecticut,nan,United States of America,United States of America,1
72888,State of Washington,nan,United States of America,United States of America,1
72892,State of New York,nan,United States of America,United States of America,1
72894,State of Oregon,nan,United States of America,United States of America,1
72895,Wales,nan,United Kingdom of Great Britain and Northern Ireland,Europe,1
72901,State of California,nan,United States of America,United States of America,1
72902,Scotland,nan,United Kingdom of Great Britain and Northern Ireland,Europe,1
72920,Autonomous Community of Galicia,nan,Spain,Europe,1
72923,Autonomous Community of Andalusia,nan,Spain,Europe,1
72924,Autonomous Community of Navarre,nan,Spain,Europe,1
72926,Autonomous Community of the Basque Country,nan,Spain,Europe,1
72927,Autonomous Community of Catalonia,nan,Spain,Europe,1
72928,Autonomous Community of Cantabria,nan,Spain,Europe,1
72932,Western Cape,nan,South Africa,Africa,1
72940,Gossas,nan,Senegal,Africa,1
72953,Autonomous Region of the Azores,nan,Portugal,Europe,1
72958,Autonomous Region of Madeira,nan,Portugal,Europe,1
72994,Cross River State,nan,Nigeria,Africa,1
73010,Baja California,nan,Mexico,Latin America,1
73013,Campeche,nan,Mexico,Latin America,1
73014,Quintana Roo,nan,Mexico,Latin America,1
73018,Aguascalientes,nan,Mexico,Latin America,1
73019,Yucatan,nan,Mexico,Latin America,1
73022,Estado de Mexico,nan,Mexico,Latin America,1
73023,Jalisco,nan,Mexico,Latin America,1
73025,Tabasco,nan,Mexico,Latin America,1
73027,Chiapas,nan,Mexico,Latin America,1
73028,Sud-Comoe,nan,Côte d'Ivoire,Africa,1
73032,Hidalgo,nan,Mexico,Latin America,1
73047,Piedmont Region,nan,Italy,Europe,1
73048,Lombardy Region,nan,Italy,Europe,1
73051,East Kalimantan,nan,Indonesia,Southeast Asia,1
73064,West Kalimantan,nan,Indonesia,Southeast Asia,1
73065,State of Baden-Württemberg,nan,Germany,Europe,1
73087,Occitania Region,nan,France,Europe,1
73088,State of Hesse,nan,Germany,Europe,1
73089,Greater East Region,nan,France,Europe,1
73108,Region of North Karelia,nan,Finland,Europe,1
73149,Quebec,nan,Canada,Canada,1
73157,Prince Edward Island,nan,Canada,Canada,1
73170,Para,nan,Brazil,Latin America,1
73172,Acre,nan,Brazil,Latin America,1
73175,Amazonas (Brazil),nan,Brazil,Latin America,1
73176,Ceara,nan,Brazil,Latin America,1
73177,Mato Grosso,nan,Brazil,Latin America,1
73178,Amapa,nan,Brazil,Latin America,1
73179,Rondonia,nan,Brazil,Latin America,1
73180,Pernambuco,nan,Brazil,Latin America,1
73182,Sao Paulo State,nan,Brazil,Latin America,1
73183,Tocantins,nan,Brazil,Latin America,1
73184,Parana,nan,Brazil,Latin America,1
73185,Rio de Janeiro State,nan,Brazil,Latin America,1
73186,Minas Gerais,nan,Brazil,Latin America,1
73190,Rio Grande do Sul,nan,Brazil,Latin America,1
73194,State of Upper Austria,nan,Austria,Europe,1
73198,South Australia,nan,Australia,Oceania,1
73199,State of Lower Austria,nan,Austria,Europe,1
73229,Masvingo,Masvingo,Zimbabwe,Africa,1
73240,Tuzla Municipality,Tuzla,Turkey,Europe,2
73247,Prefeitura de Bayeux,Bayeux,Brazil,Latin America,1
73252,Pemba Municipality,Pemba,Mozambique,Africa,4
73282,Municipality of Ilha de Mozambique,Ilha,Mozambique,Africa,1
73293,"City of LaGrange, MO",LaGrange,United States of America,North America,2
73295,"City of La Crosse, WI",La Crosse,United States of America,North America,3
73295,"City of La Crosse, WI",La Crosse,United States of America,United States of America,2
73301,"City of Gretna, LA",Gretna,United States of America,North America,3
73301,"City of Gretna, LA",Gretna,United States of America,United States of America,2
73302,"City of Port Allen, LA",Port Allen,United States of America,North America,2
73365,Town of Ithaca,nan,United States of America,North America,1
73413,Commune de Cocody,Abidjan,Côte d'Ivoire,Africa,1
73413,Commune de Cocody,Cocody,Côte d'Ivoire,Africa,4
73530,"Town of Lexington, MA","Lexington, MA",United States of America,North America,3
73530,"Town of Lexington, MA","Lexington, MA",United States of America,United States of America,2
73635,Metepec,nan,Mexico,Latin America,1
73637,Steve Tshwete,nan,South Africa,Africa,4
73645,KwaDukuza,nan,South Africa,Africa,4
73648,Arias,nan,Argentina,Latin America,1
73650,Armstrong,nan,Argentina,Latin America,2
73650,Municipalidad de Armstrong,nan,Argentina,Latin America,1
73652,Caseros,nan,Argentina,Latin America,2
73663,Correa,nan,Argentina,Latin America,2
73665,Villa Pehuenia,nan,Argentina,Latin America,1
73666,Cuyahoga County,nan,United States of America,North America,2
73666,"Cuyahoga County, OH",nan,United States of America,United States of America,2
73667,San Rafael de Heredia,nan,Costa Rica,Latin America,3
73668,Malabrigo,nan,Argentina,Latin America,2
73669,San Luis Obispo,nan,United States of America,North America,1
73669,"San Luis Obispo, CA",nan,United States of America,United States of America,1
73671,Godoy Cruz,nan,Argentina,Latin America,3
73676,Umhlathuze,nan,South Africa,Africa,3
73678,Chañar Ladeado,nan,Argentina,Latin America,1
73679,Cruz Alta,nan,Argentina,Latin America,1
73680,Carcarana,nan,Argentina,Latin America,2
73684,Carlos Tejedor,nan,Argentina,Latin America,2
73686,Los Molles,nan,Argentina,Latin America,1
73687,Sabaneta,nan,Colombia,Latin America,1
73689,"Halton Hills, ON",nan,Canada,Canada,1
73690,Villa General Belgrano,nan,Argentina,Latin America,1
73692,Mount Barker District Council,nan,Australia,Oceania,2
73692,Mount Barker District Council,nan,Australia,Southeast Asia and Oceania,1
73693,City of La Rioja,nan,Argentina,Latin America,2
73694,Chacabuco,nan,Argentina,Latin America,3
73695,Uranga,nan,Argentina,Latin America,3
73698,City of Joondalup,nan,Australia,Oceania,1
73700,Mariá Grande,nan,Argentina,Latin America,1
73701,San Carlos Sud,nan,Argentina,Latin America,3
73703,City of Port Phillip,nan,Australia,Southeast Asia and Oceania,1
73705,Santo Tomé,nan,Argentina,Latin America,1
73706,City of Alameda,Alameda,United States of America,North America,3
73706,"City of Alameda, CA",Alameda,United States of America,United States of America,1
73707,Totoras,nan,Argentina,Latin America,1
73709,Los Surgentes,nan,Argentina,Latin America,1
73712,Camilo Aldao,nan,Argentina,Latin America,3
73713,San Miguel,nan,Argentina,Latin America,2
73715,Cosquín,nan,Argentina,Latin America,1
73722,Mornington Peninsula Shire,nan,Australia,Oceania,1
73722,Mornington Peninsula Shire,nan,Australia,Southeast Asia and Oceania,1
73723,"San Rafael, CA",nan,United States of America,United States of America,1
73724,Arteaga,nan,Argentina,Latin America,3
73725,Guaminí,nan,Argentina,Latin America,3
73726,Itagüí,nan,Colombia,Latin America,3
73728,"North Miami, FL",nan,United States of America,United States of America,1
73732,Monte Buey,nan,Argentina,Latin America,2
73734,Envigado,nan,Colombia,Latin America,2
73736,Tafi Viejo,nan,Argentina,Latin America,1
73738,Khon Kaen City,nan,Thailand,Southeast Asia and Oceania,1
73746,Probolinggo,nan,Indonesia,Southeast Asia,2
73746,Probolinggo,nan,Indonesia,Southeast Asia and Oceania,1
73749,Nagpur,nan,India,South Asia,1
73749,Nagpur,nan,India,South and West Asia,2
73750,Tarakan City,nan,Indonesia,Southeast Asia,2
73750,Tarakan City,nan,Indonesia,Southeast Asia and Oceania,2
73752,Bontang City,nan,Indonesia,Southeast Asia,2
73752,Bontang City,nan,Indonesia,Southeast Asia and Oceania,1
73754,Panaji,nan,India,South Asia,1
73754,Panaji,nan,India,South and West Asia,2
73755,Legazpi City,nan,Philippines,Southeast Asia,1
73757,Sukabumi City,nan,Indonesia,Southeast Asia,2
73758,Mataram City,nan,Indonesia,Southeast Asia,2
73759,Jambi City,nan,Indonesia,Southeast Asia,2
73759,Jambi City,nan,Indonesia,Southeast Asia and Oceania,2
73762,Malang City,nan,Indonesia,Southeast Asia,1
73762,Malang City,nan,Indonesia,Southeast Asia and Oceania,1
73763,San Carlos City,nan,Philippines,Southeast Asia,2
73763,San Carlos City,nan,Philippines,Southeast Asia and Oceania,1
73765,Tuguegarao City,nan,Philippines,Southeast Asia and Oceania,1
73777,Muang Phichit,nan,Thailand,Southeast Asia,1
73781,Singra,nan,Bangladesh,South Asia,1
73781,Singra,nan,Bangladesh,South and West Asia,1
73783,Patna,nan,India,South Asia,1
73787,Tapalqué,nan,Argentina,Latin America,1
73788,Salliqueló,nan,Argentina,Latin America,1
73789,Rafaela,nan,Argentina,Latin America,1
73793,La Estrella,nan,Colombia,Latin America,1
73795,Girardota,nan,Colombia,Latin America,2
73796,Copacabana,nan,Colombia,Latin America,1
73800,Gobernador Maciá,nan,Argentina,Latin America,1
73801,Juana Koslay,nan,Argentina,Latin America,1
73802,Crespo,nan,Argentina,Latin America,3
73803,Herrera,nan,Argentina,Latin America,1
73806,Llambi Campbell,nan,Argentina,Latin America,1
73810,"Miami-Dade, FL",nan,United States of America,United States of America,1
73821,Municipality of Gabriel Monteiro,nan,Brazil,Latin America,1
73879,Roskilde,Roskilde,Denmark,Europe,3
73879,Roskilde Kommune,Roskilde,Denmark,Europe,1
73879,Roskilde Municipality,Roskilde,Denmark,Europe,1
73892,Holbæk Municipality,nan,Denmark,Europe,1
74231,Chefchaouen,nan,Morocco,Africa,1
74309,Nakhon Sawan,nan,Thailand,East Asia,1
74326,Hachioji,nan,Japan,East Asia,2
74338,Yala City Municipality,nan,Thailand,Southeast Asia,1
74358,Kagoshima,nan,Japan,East Asia,2
74365,Utsunomiya,nan,Japan,East Asia,2
74369,Funabashi,nan,Japan,East Asia,2
74371,Himeji,nan,Japan,East Asia,2
74375,Itabashi,nan,Japan,East Asia,2
74386,Gangtok,nan,India,South and West Asia,2
74401,"City of Encinitas, CA",Encinitas,United States of America,North America,3
74401,"City of Encinitas, CA",Encinitas,United States of America,United States of America,1
74414,Boulder County,Boulder County,United States of America,North America,3
74414,"Boulder County, CO",Boulder County,United States of America,United States of America,2
74418,"Town of Breckenridge, CO",Breckenridge,United States of America,North America,3
74418,"Town of Breckenridge, CO",Breckenridge,United States of America,United States of America,2
74423,"City of Key West, FL",Key West,United States of America,North America,3
74427,City of Sarasota,Sarasota,United States of America,North America,2
74428,"City of South Miami, FL",South Miami,United States of America,North America,2
74440,City of Davenport,Davenport,United States of America,North America,1
74443,"City of Clinton, IA",Clinton,United States of America,North America,1
74453,"City of Highland Park, IL",nan,United States of America,North America,2
74453,"City of Highland Park, IL",nan,United States of America,United States of America,2
74462,"Village of Oak Park, IL",nan,United States of America,United States of America,1
74463,"Village of Park Forest, IL",nan,United States of America,North America,1
74463,"Village of Park Forest, IL",nan,United States of America,United States of America,2
74466,"Village of South Barrington, IL",South Barrington,United States of America,North America,3
74466,"Village of South Barrington, IL",South Barrington,United States of America,United States of America,1
74481,"Town of Acton, MA",nan,United States of America,United States of America,1
74488,"City of Beverly, MA",nan,United States of America,North America,2
74488,"City of Beverly, MA",nan,United States of America,United States of America,2
74495,"City of East Lansing, MI",East Lansing,United States of America,North America,2
74502,"City of Eden Prairie, MN",nan,United States of America,United States of America,1
74504,"City of Ramsey, MN",Ramsey,United States of America,North America,1
74508,"City of Winona, MN",Winona,United States of America,North America,3
74508,"City of Winona, MN",Winona,United States of America,United States of America,2
74525,"City of Missoula, MT",Missoula,United States of America,North America,2
74531,Santa Fe County,Santa Fe County,United States of America,North America,3
74531,"Santa Fe County, NM",Santa Fe County,United States of America,United States of America,2
74534,"Erie County, NY",nan,United States of America,North America,1
74539,"City of Oberlin, OH",nan,United States of America,United States of America,2
74540,"Village of Hastings-on-Hudson, NY",nan,United States of America,United States of America,1
74546,"City of Milwaukie, OR",nan,United States of America,North America,1
74547,"City of Mosier, OR",nan,United States of America,United States of America,2
74558,"Summit County, UT",nan,United States of America,North America,2
74558,"Summit County, UT",nan,United States of America,United States of America,1
74560,"City of Moab, UT",Moab,United States of America,North America,2
74560,"City of Moab, UT",Moab,United States of America,United States of America,1
74563,"Town of Guilford, VT",nan,United States of America,North America,2
74563,"Town of Guilford, VT",nan,United States of America,United States of America,2
74568,"City of Shoreline, WA",Shoreline,United States of America,United States of America,1
74568,"City of Shoreline, WA",nan,United States of America,North America,1
74568,"City of Shoreline, WA",nan,United States of America,United States of America,1
74569,"King County, WA",King County,United States of America,North America,1
74573,"Snoqualmie, WA",Snoqualmie,United States of America,North America,2
74573,"Snoqualmie, WA",Snoqualmie,United States of America,United States of America,1
74575,Dane County,nan,United States of America,North America,2
74575,"Dane County, WI",nan,United States of America,United States of America,2
74594,City of Boynton Beach,Boynton Beach,United States of America,North America,3
74594,"City of Boynton Beach, FL",Boynton Beach,United States of America,United States of America,2
74607,Gemeente Alkmaar,nan,Netherlands,Europe,1
74631,Lubumbashi,Lubumbashi,Democratic Republic of the Congo,Africa,4
74634,Bukavu,nan,Congo,Africa,1
74643,Dijon métropole,nan,France,Europe,1
74670,Antalya Metropolitan Municipality,nan,Turkey,Europe,2
74671,Kadıköy,nan,Turkey,Europe,3
74672,Bursa Nilüfer Municipality,nan,Turkey,Europe,3
74673,İzmir Metropolitan Municipality,nan,Turkey,Europe,3
74677,City of Cluj-Napoca,nan,Romania,Europe,1
74678,City of Galati,nan,Romania,Europe,1
74680,City of Iasi,Iasi,Romania,Europe,3
74690,Municipality of L'Hospitalet de Llobregat,nan,Spain,Europe,1
74695,Sandnes kommune,nan,Norway,Europe,2
74698,Beira,nan,Mozambique,Africa,1
74723,Lesser Poland Voivodeship,nan,Poland,Europe,1
74745,Nyandarua County,nan,Kenya,Africa,1
74768,Siaya County,nan,Kenya,Africa,1
74771,Kisii County,nan,Kenya,Africa,1
8242,City of Helsinki,Helsinki,Finland,Europe,3
8242,Helsingin kaupunki,Helsinki,Finland,Europe,1
826094,Ayuntamiento de Atenguillo,nan,Mexico,Latin America,1
826100,Ayuntamiento de La Barca,La Barca,Mexico,Latin America,1
826103,Ayuntamiento de Casimiro Castillo,Casimiro Castillo,Mexico,Latin America,3
826113,Ayuntamiento de Chiquilistlán,nan,Mexico,Latin America,1
826114,Ayuntamiento de Degollado,Degollado,Mexico,Latin America,1
826126,Ayuntamiento de Ixtlahuacán del Río,Ixtlahuacán del Río,Mexico,Latin America,1
826129,Ayuntamiento de Jesús María,nan,Mexico,Latin America,2
826135,Ayuntamiento de El Limón,nan,Mexico,Latin America,1
826148,Ayuntamiento de Puerto Vallarta,nan,Mexico,Latin America,1
826167,Ayuntamiento de Tapalpa,nan,Mexico,Latin America,1
826178,Ayuntamiento de Tlajomulco de Zúñiga,nan,Mexico,Latin America,1
826182,Ayuntamiento de Tonalá,nan,Mexico,Latin America,3
826188,Ayuntamiento de Tuxcueca,Tuxcueca,Mexico,Latin America,1
826199,Ayuntamiento de Yahualica de González Gallo,nan,Mexico,Latin America,1
826201,Ayuntamiento de Zapopan,nan,Mexico,Latin America,3
826207,Junta Intermunicipal de Medio Ambiente Region Valles (JIMAV),JIMAV,Mexico,Latin America,5
826208,Junta Intermunicipal de Medio Ambiente de Sierra Occidental y Costa (JISOC),JISOC,Mexico,Latin America,5
826209,Aipromades Lago de Chapala,Chapala,Mexico,Latin America,5
826210,Junta Intermunicipal de Medio Ambiente de la Costa Sur (JICOSUR),JICOSUR,Mexico,Latin America,5
826211,Junta Intermunicipal de Medio Ambiente Altos Sur (JIAS),nan,Mexico,Latin America,3
826212,Junta intermunicipal para la gestión integral de la cuenca del Río Coahuayana (JIRCO),nan,Mexico,Latin America,4
826217,Prefeitura de Francisco Morato,nan,Brazil,Latin America,1
826226,Prefeitura de Diamantina,nan,Brazil,Latin America,1
826236,Prefeitura de Tremembé,Tremembé,Brazil,Latin America,3
826237,Alcaldia de Madrid,Madrid (Colombia),Colombia,Latin America,5
826238,Alcaldia de Mosquera,Mosquera,Colombia,Latin America,3
826239,Alcaldia de Sopó,Sopó,Colombia,Latin America,2
826240,Alcaldia de Tenjo,nan,Colombia,Latin America,1
826243,Alcaldia de Cartago,Cartago,Colombia,Latin America,4
826380,Junta Intermunicipal de la Cuenca Baja del Rio Ayuquila (JIRA),nan,Mexico,Latin America,4
826381,Junta Intermunicipal de la Región Norte del Estado de Jalisco (JINOR),nan,Mexico,Latin America,3
826396,Municipality of Sintra,Sintra,Portugal,Europe,1
826396,Munícipio de Sintra,Sintra,Portugal,Europe,4
826397,Munícipio de Portalegre,Portalegre,Portugal,Europe,1
826405,Municipality of Maia,nan,Portugal,Europe,1
826407,Munícipio de Mirandela,Mirandela,Portugal,Europe,4
826423,Municipality of Castelo Branco,Castelo Branco,Portugal,Europe,1
826423,Município de Castelo Branco,Castelo Branco,Portugal,Europe,4
826427,Municipality of Valongo,Valongo,Portugal,Europe,1
826427,Município de Valongo,Valongo,Portugal,Europe,4
826429,Municipality of Figueira da Foz,Figueira da Foz,Portugal,Europe,1
826429,Município de Figueira da Foz,Figueira da Foz,Portugal,Europe,3
826431,Municipality of Loulé,Loulé,Portugal,Europe,1
826431,Município de Loulé,Loulé,Portugal,Europe,4
826439,Nansana Municipal Council,nan,Uganda,Africa,1
826446,City of Bradford,Bradford,United Kingdom of Great Britain and Northern Ireland,Europe,5
826450,Durham County Council,nan,United Kingdom of Great Britain and Northern Ireland,Europe,3
826455,Worcester City Council,nan,United Kingdom of Great Britain and Northern Ireland,Europe,1
827047,Fuzhou Municipal People's Government,nan,China,East Asia,4
827048,Zhenjiang Municipal People's Government,nan,China,East Asia,4
830907,Prefeitura Municipal de Cotriguaçu,Cotriguaçu,Brazil,Latin America,1
830945,Prefeitura Municipal de Juruena,Juruena,Brazil,Latin America,1
830945,Prefeitura Municipal de Juruena,nan,Brazil,Latin America,1
831150,Municipio de Arboletes,Arboletes,Colombia,Latin America,1
831152,Municipio de San Pedro de Urabá,San Pedro de Urabá,Colombia,Latin America,4
831156,Municipio de Chigorodó,nan,Colombia,Latin America,1
831230,Municipality of La Marsa,La Marsa,Tunisia,Africa,5
831231,Kasama Municipal Council,Kasama,Zambia,Africa,1
831234,"City of Fredericton, NB",nan,Canada,Canada,1
831234,"City of Fredericton, NB",nan,Canada,nan,1
831387,Caquetá,nan,Colombia,Latin America,1
831388,Colima,nan,Mexico,Latin America,1
831390,State of Lower Saxony,nan,Germany,Europe,1
831391,Queretaro,nan,Mexico,Latin America,1
831396,Baja California Sur,nan,Mexico,Latin America,1
831425,Alcaldía Municipal La Paz,La Paz (Honduras),Honduras,Latin America,1
831431,Cornwall Council,nan,United Kingdom of Great Britain and Northern Ireland,Europe,3
831433,Comuna de Ataliva,Ataliva,Argentina,Latin America,2
831502,New South Wales Government,nan,Australia,Oceania,1
831615,Pikine,Dakar,Senegal,Africa,1
831616,Commune de Tsévié,Tsévié,Togo,Africa,4
831617,Commune de Bouaké,Bouaké,Côte d'Ivoire,Africa,2
831618,Yaoundé 4,Yaoundé 4,Cameroon,Africa,5
831620,Yaoundé 3,Yaoundé 3,Cameroon,Africa,3
831674,Municipality of Amarante,Amarante,Portugal,Europe,1
831674,Município de Amarante,Amarante,Portugal,Europe,3
831811,Municipalidad de Zacatecoluca,Zacatecoluca,El Salvador,Latin America,1
831812,Municipalidad de Puerto Barrios,Puerto Barrios,Guatemala,Latin America,2
831823,City of Massa Marittima,Massa Marittima,Italy,Europe,1
831823,Comune di Massa Marittima,Massa Marittima,Italy,Europe,3
831834,CIOESTE,Cioeste,Brazil,Latin America,1
831923,Muğla,nan,Turkey,Europe,2
831926,Ramallah,nan,State of Palestine,Middle East,4
831952,Municipalidad de Portoviejo,nan,Ecuador,Latin America,2
831962,Município de Montalegre,Montalegre,Portugal,Europe,1
831999,Concejo Municipal de Distrito de Monte Verde,nan,Costa Rica,Latin America,4
832000,Municipalidad de Desamparados,nan,Costa Rica,Latin America,4
832002,Municipalidad de Quepos,nan,Costa Rica,Latin America,2
832009,Ayuntamiento de Xalapa,Xalapa,Mexico,Latin America,3
832078,Municipality of Mafra,Mafra,Portugal,Europe,1
832078,Município de Mafra,Mafra,Portugal,Europe,4
832097,Municipality of Lagos (Portugal),nan,Portugal,Europe,1
832097,Município de Lagos,nan,Portugal,Europe,3
832274,Municipality of Odemira,nan,Portugal,Europe,1
832274,Município de Odemira,nan,Portugal,Europe,2
832497,Bridgend County Borough Council,nan,United Kingdom of Great Britain and Northern Ireland,Europe,1
832500,Darlington Borough Council,nan,United Kingdom of Great Britain and Northern Ireland,Europe,2
832504,Harlow Council,nan,United Kingdom of Great Britain and Northern Ireland,Europe,2
832509,Slough Borough Council,nan,United Kingdom of Great Britain and Northern Ireland,Europe,2
832610,"Orange County, NC",nan,United States of America,North America,2
832838,Town of Wellfleet,Wellfleet,United States of America,North America,3
832838,"Town of Wellfleet, MA",Wellfleet,United States of America,United States of America,2
832909,Municipality of Coruche,nan,Portugal,Europe,1
832909,Município de Coruche,nan,Portugal,Europe,2
833235,Bahia,nan,Brazil,Latin America,1
833236,Paraíba,nan,Brazil,Latin America,1
833237,Santa Catarina,nan,Brazil,Latin America,1
833238,Espirito Santo,nan,Brazil,Latin America,1
833239,Alagoas,nan,Brazil,Latin America,1
833240,Sergipe,nan,Brazil,Latin America,1
833241,Rio Grande do Norte,nan,Brazil,Latin America,1
833242,Guanajuato,nan,Mexico,Latin America,1
833243,Nuevo León,nan,Mexico,Latin America,1
833247,Puebla,nan,Mexico,Latin America,1
833248,Chihuahua,nan,Mexico,Latin America,1
833262,Nariño,nan,Colombia,Latin America,1
833263,North Kalimantan,nan,Indonesia,Southeast Asia,1
833264,Oaxaca,nan,Mexico,Latin America,1
833265,Papua,nan,Indonesia,Southeast Asia,1
833267,Sonora,nan,Mexico,Latin America,1
833274,Antioquia,nan,Colombia,Latin America,1
833275,Boyacá,nan,Colombia,Latin America,1
833284,West Midlands Combined Authority,nan,United Kingdom of Great Britain and Northern Ireland,Europe,3
833379,Bani-Suhaila Municipality,nan,State of Palestine,Middle East,3
834047,Choma Municipal Council,nan,Zambia,Africa,1
834058,Bogor Regency,nan,Indonesia,Southeast Asia,1
834058,Bogor Regency,nan,Indonesia,Southeast Asia and Oceania,2
834082,City of Chefchaouen,Chefchaouen,Morocco,Africa,1
834083,"City of Eau Claire, WI",Eau Claire,United States of America,United States of America,2
834083,"City of Eau Claire, WI",nan,United States of America,North America,2
834096,"City of Richmond, BC",nan,Canada,Canada,1
834096,"City of Richmond, BC",nan,Canada,nan,1
834120,City of Tanjungpinang,nan,Indonesia,Southeast Asia,1
834120,City of Tanjungpinang,nan,Indonesia,Southeast Asia and Oceania,2
834126,Dobong-gu District of Seoul,nan,Republic of Korea,East Asia,2
834126,Dobong-gu Municipal Government,nan,Republic of Korea,East Asia,1
834131,Fuji City,nan,Japan,East Asia,2
834139,Gangdong-gu District of Seoul,nan,Republic of Korea,East Asia,2
834139,Gangdong-gu Municipal Government,nan,Republic of Korea,East Asia,1
834143,Hokuto City,nan,Japan,East Asia,2
834144,Hue City,Hue,Viet Nam,Southeast Asia,1
834153,Jasin Municipal Council,nan,Malaysia,Southeast Asia and Oceania,1
834155,Kawagoe City,nan,Japan,East Asia,2
834157,Hang Tuah Jaya Municipal Council,nan,Malaysia,Southeast Asia,1
834157,Hang Tuah Jaya Municipal Council,nan,Malaysia,Southeast Asia and Oceania,1
834161,Kinmen County Government,nan,"Taiwan, China",East Asia,1
834161,Kinmen County Government,nan,"Taiwan, Greater China",East Asia,3
834163,Hat Siao Sub-District Municipality,nan,Thailand,Southeast Asia and Oceania,1
834167,Kochi Municipal Corporation,KOCHI,India,South Asia,1
834167,Kochi Municipal Corporation,KOCHI,India,South and West Asia,2
834190,Kurashiki City,nan,Japan,East Asia,2
834192,Koriyama City,nan,Japan,East Asia,1
834196,Miyoshi City,nan,Japan,East Asia,2
834202,Mogale City Local Municipality,nan,South Africa,Africa,1
834219,Municipality of Corrientes,nan,Argentina,Latin America,3
834226,Municipality of Bell Ville,nan,Argentina,Latin America,1
834228,Municipality of Curridabat,nan,Costa Rica,Latin America,2
834229,Municipality of Bragado,nan,Argentina,Latin America,2
834232,Municipality of Caldas,nan,Colombia,Latin America,1
834238,Municipality of Centeno,nan,Argentina,Latin America,1
834246,Municipality of Gemona del Friuli,nan,Italy,Europe,1
834251,Municipality of Coronel Dominguez,nan,Argentina,Latin America,3
834255,Municipality of Guaymallén,nan,Argentina,Latin America,2
834256,Municipality of La Antigua Guatemala,nan,Guatemala,Latin America,1
834258,Municipality of Inriville,nan,Argentina,Latin America,1
834259,Municipality of Lobos,nan,Argentina,Latin America,2
834260,Municipality of Olavarría,nan,Argentina,Latin America,1
834261,Municipality of Irapuato,nan,Mexico,Latin America,3
834277,Municipality of Patagones,nan,Argentina,Latin America,2
834278,Municipality of Resistencia,nan,Argentina,Latin America,3
834280,Municipality of Pérez,nan,Argentina,Latin America,1
834287,Municipality of Terra Nova do Norte,nan,Brazil,Latin America,1
834289,Municipality of Rauch,nan,Argentina,Latin America,3
834299,Musashino City,nan,Japan,East Asia,1
834300,Municipality of Villanueva,nan,Guatemala,Latin America,1
834301,Municipality of San Antonio de Areco,nan,Argentina,Latin America,3
834313,Municipality of Tópaga,nan,Colombia,Latin America,4
834323,Patong Municipality,nan,Thailand,Southeast Asia and Oceania,1
834324,Nihonmatsu City,nan,Japan,East Asia,2
834331,Nakano City,nan,Japan,East Asia,1
834339,Odawara City,nan,Japan,East Asia,2
834347,Seberang Perai Municipal Council,nan,Malaysia,Southeast Asia,2
834347,Seberang Perai Municipal Council,nan,Malaysia,Southeast Asia and Oceania,2
834349,Shinjuku City,nan,Japan,East Asia,2
834352,Suita City,nan,Japan,East Asia,1
834362,Sigtuna Municipality,Sigtuna Municipality,Sweden,Europe,1
834370,"Town of Secaucus, NJ",nan,United States of America,North America,2
834373,"Town of York, ME",nan,United States of America,North America,1
834373,"Town of York, ME",nan,United States of America,United States of America,2
834374,Tagum City,nan,Philippines,Southeast Asia,2
834374,Tagum City,nan,Philippines,Southeast Asia and Oceania,2
834377,Takarazuka City,nan,Japan,East Asia,2
834385,Ube City,nan,Japan,East Asia,2
834400,Yasothon Town Municipality,nan,Thailand,Southeast Asia,1
834402,Yokosuka City,nan,Japan,East Asia,2
834403,Municipality of San Martín de los Andes,nan,Argentina,Latin America,3
834405,Municipality of Soldini,nan,Argentina,Latin America,1
834406,Municipality of San Pedro Tlaquepaque,nan,Mexico,Latin America,4
834413,Municipality of Tahuamanu,nan,Peru,Latin America,1
834451,"Metro Vancouver, BC",nan,Canada,Canada,1
835961,Riau Province,nan,Indonesia,Southeast Asia,1
835965,West Papua Province,nan,Indonesia,Southeast Asia,1
838937,Mersin Metropolitan Municipality,nan,Turkey,Europe,2
838939,Kocaeli Metropolitan Municipality,nan,Turkey,Europe,1
839648,Ayuntamiento Victoria,nan,Mexico,Latin America,2
839649,Ayuntamiento de Centro,nan,Mexico,Latin America,1
839650,Ayuntamiento de Uriangato,nan,Mexico,Latin America,2
839665,Ayuntamiento de Celaya,nan,Mexico,Latin America,4
839666,Municipio de Escuintla,nan,Guatemala,Latin America,4
839667,Municipio de Guanagazapa,nan,Guatemala,Latin America,2
839668,Municipio de Iztapa,nan,Guatemala,Latin America,4
839669,Municipio de San Jose,nan,Guatemala,Latin America,3
839670,Municipio de Santa Catarina Pinula,nan,Guatemala,Latin America,2
839671,Municipalidad de Ñuñoa,nan,Chile,Latin America,1
839672,Municipalidad Distrital de La Molina,nan,Peru,Latin America,3
839673,Municipalidad Distrital de Jesús María,nan,Peru,Latin America,4
839931,Dong Hoi City,nan,Viet Nam,Southeast Asia and Oceania,1
839954,Vinh City,nan,Viet Nam,Southeast Asia and Oceania,1
839963,Alpa Corral,Alpa Corral,Argentina,Latin America,1
839964,Ameghino,Ameghino,Argentina,Latin America,1
839965,Dolores,Dolores,Argentina,Latin America,1
839966,Loncopue,Loncopue,Argentina,Latin America,1
839967,Malargue,Malargue,Argentina,Latin America,2
